300,301.12947418,302.25518734,303.3771891,304.49552774,305.61025023,306.72140228,307.82902849,308.93317229,311.13117864,313.31575588,315.48721616,317.64585799,319.79196727,321.92581822,326.15778245,330.3437758,334.48564013,342.64372369,350.64465141
358.49930216,366.21730936,373.80725594,381.2768292,388.63294628,395.88185724,403.02923069,410.08022559,417.03955208,423.91152313,430.70009893,437.40892505,450.60079862,463.51148193,476.16161282,488.56912431,500.74970531,512.71716668,524.48373546,536.06029353
547.45657293,558.6813172,569.74241543,580.64701463,591.40161451,602.01214781,612.48404902,622.82231318,633.03154671,643.11601132,653.07966222,662.92618141,672.65900685,682.28135796,691.79625814,701.2065546,710.5149359,719.72394751,728.8360057,737.85340989
746.77835377,755.61293531,764.35916573,773.01897773,781.59423289,798.4988414,815.08687884,831.37123657,847.36420261,863.07758183,870.83288792,878.52239338,886.14748149,893.70951775,901.20985047,908.64981068,916.03071173,923.35384822,930.62049468,937.83190365
944.98930359,952.09389635,959.14685459,966.14931908,973.10239596,980.00715428,993.67575903,1007.16319689,1020.47168693,1033.60677301,1046.57329889,1059.37548545,1072.01703178,1084.50122255,1109.01110912,1132.9278044,1156.27105799,1167.73258962,1179.0568205,1190.24572513
1201.30116281,1212.22487477,1223.01848526,1244.22290681,1264.9257604,1285.13640967,1304.86303468,1314.54637062,1324.1109013,1333.55742415,1342.88670109,1352.09946372,1361.1964183,1370.17825049,1379.04562972,1387.79921324,1396.43964988,1404.96758344,1413.38365583,1421.68850984
1429.88279167,1445.94321684,1461.57077847,1476.77091994,1491.54929438,1505.91178577,1519.86451907,1533.41386129,1546.56641561,1559.32901026,1571.70868372,1583.71266739,1595.34836664,1606.62334097,1617.54528348,1628.12200009,1638.3613887,1648.27141835,1657.86010864,1667.13550957
1676.10568194,1684.77867842,1693.16252558,1701.26520679,1709.09464637,1716.65869462,1723.96511426,1737.83062121,1750.76196575,1762.8167424,1774.05027329,1784.51544495,1794.26260119,1803.33948516,1811.79122362,1819.66034578,1826.98683011,1833.80817296,1840.15947376,1846.07353203
1851.58095269,1856.71025628,1861.48799158,1865.93884864,1870.08577054,1873.95006256,1877.55149791,1884.02198837,1889.65503162,1894.56229911,1898.83985032,1902.57033214,1905.82489011,1908.66481919,1911.14298288,1913.30502895,1915.1904286,1916.83336318,1918.26348017,1919.50653742
1920.58495202,1921.51826812,1922.32355566,1923.01575039,1923.60794389,1924.52692381,1925.17345838,1925.60560338,1925.86898324,1925.99961263,1926.02601005,1925.97079873,1925.85193538,1925.68366639,1925.47728115,1925.2417114,1924.98401077,1924.70973963,1924.42327384,1924.12805219
1923.82677418,1923.52155784,1923.21406562,1922.59617669,1921.98138792,1921.37382178,1920.7759139,1919.61329856,1918.49514986,1917.42036782,1916.38634915,1915.39019981,1914.42928044,1912.60667267,1910.88727515,1909.258973,1907.71220546,1906.23926762,1904.83379445,1903.49040907
1902.2044951,1900.97205909,1899.78966261,1898.65441888,1897.56406793,1896.51717488,1894.55305066,1892.7237673,1891.0241671,1889.8397701,1888.7599044,1887.0539367,1887.0539367,,,,,,,
